Asset,Headline,File
every-home-needs-superheroes,BOILER REPAIR HEROES,C:\Deployment\geogas\campaign\tube-ads\geogas-van-tube-ad-every-home-needs-superheroes.png
van-on-call,WHEN YOUR BOILER CALLS, OUR HEROES ROLL.,C:\Deployment\geogas\campaign\tube-ads\geogas-van-tube-ad-van-on-call.png
home-rescue-cover,BOILER COVER, PARKED OUTSIDE.,C:\Deployment\geogas\campaign\tube-ads\geogas-van-tube-ad-home-rescue-cover.png
twenty-four-seven,BOILER HELP IS NEVER FAR AWAY.,C:\Deployment\geogas\campaign\tube-ads\geogas-van-tube-ad-twenty-four-seven.png
